Rms,EventID,Location,Latitude,Longitude,Depth,Type,Magnitude,Country,Province,District,Neighborhood,Date,isEventUpdate,lastUpdateDate
0.33,646941,Eskipazar (Karabük),40.955,32.7025,7,ML,1.9,Türkiye,Karabük,Eskipazar,İnceboğaz,12/27/2024 5:04:35 PM,False,
0.34,646959,Çankaya (Ankara),39.85889,32.82778,7,ML,1.2,Türkiye,Ankara,Çankaya,Mürsel Uluç,12/27/2024 8:28:30 PM,False,
0.21,647007,Delice (Kırıkkale),39.78611,33.97361,7,ML,0.9,Türkiye,Kırıkkale,Delice,Halitli,12/28/2024 3:39:24 AM,False,
0.23,647161,Delice (Kırıkkale),39.75333,33.95722,6.56,ML,1,Türkiye,Kırıkkale,Delice,Halitli,12/30/2024 12:59:13 AM,False,
0.49,647233,Kızılcahamam (Ankara),40.53583,32.76028,4.97,ML,1,Türkiye,Ankara,Kızılcahamam,Eğerlidere,12/30/2024 8:45:10 PM,False,
0.4,647234,Kızılcahamam (Ankara),40.53778,32.75361,7,ML,1,Türkiye,Ankara,Kızılcahamam,Eğerlidere,12/30/2024 8:51:16 PM,False,
0.73,647331,Bala (Ankara),39.45722,32.91694,9.3,ML,1.2,Türkiye,Ankara,Bala,Çimşit,12/31/2024 12:42:57 PM,False,
0.34,647358,Bala (Ankara),39.58972,33.28889,7,ML,0.9,Türkiye,Ankara,Bala,Çatalçeşme,12/31/2024 8:20:51 PM,False,
0.41,647494,Kızılcahamam (Ankara),40.56833,32.76333,7,ML,0.9,Türkiye,Ankara,Kızılcahamam,Eğerlikozören,1/1/2025 10:50:52 PM,False,
0.5,647533,Kalecik (Ankara),40.38111,33.37667,5.84,ML,1.1,Türkiye,Ankara,Kalecik,Demirtaş,1/2/2025 7:47:59 AM,False,
0.77,647544,Mamak (Ankara),39.9,33.05278,7,ML,1,Türkiye,Ankara,Mamak,Kutludüğün,1/2/2025 9:56:16 AM,False,
0.27,647557,Çerkeş (Çankırı),40.71306,32.83139,7.03,ML,1.2,Türkiye,Çankırı,Çerkeş,Kısaç,1/2/2025 1:41:13 PM,False,
0.11,647566,Delice (Kırıkkale),40.19,33.97917,7,ML,0.7,Türkiye,Kırıkkale,Delice,Karaköseli,1/2/2025 3:50:49 PM,False,
0.28,647641,Bala (Ankara),39.62806,33.11972,7.06,ML,0.8,Türkiye,Ankara,Bala,Ergin,1/3/2025 8:26:22 AM,False,
0.37,647645,Elmadağ (Ankara),39.9775,33.38417,7,ML,1.1,Türkiye,Ankara,Elmadağ,Kayadibi,1/3/2025 9:23:24 AM,False,
0.77,647653,Mamak (Ankara),39.80222,33.00694,7.1,ML,0.9,Türkiye,Ankara,Mamak,Kıbrıs,1/3/2025 9:55:01 AM,False,
0.21,647773,Bala (Ankara),39.33333,33.41722,9.78,ML,1.1,Türkiye,Ankara,Bala,Küçükcamili,1/4/2025 9:04:21 AM,False,
0.3,647797,Kızılcahamam (Ankara),40.65167,32.66361,7,ML,1.3,Türkiye,Ankara,Kızılcahamam,Hıdırlar,1/4/2025 12:38:04 PM,False,
0.19,647927,Çerkeş (Çankırı),40.79306,32.76167,7.37,ML,1.1,Türkiye,Çankırı,Çerkeş,Dikenli,1/5/2025 8:49:55 PM,False,
0.47,647943,Çerkeş (Çankırı),40.70694,32.82583,7.04,ML,1,Türkiye,Çankırı,Çerkeş,Kısaç,1/5/2025 11:06:56 PM,False,
0.31,647971,Çerkeş (Çankırı),40.68917,32.77222,7,ML,1.7,Türkiye,Çankırı,Çerkeş,Yoncalı,1/6/2025 4:21:59 AM,False,
0.34,648206,Çelebi (Kırıkkale),39.47806,33.50111,7,ML,1.1,Türkiye,Kırıkkale,Çelebi,Barbaros,1/8/2025 10:27:43 AM,False,
0.85,648207,Kazan (Ankara),40.21778,32.81056,7,ML,1.4,Türkiye,Ankara,Kazan,Peçenek,1/8/2025 10:57:19 AM,False,
0.44,648304,Orta (Çankırı),40.68667,33.02556,7.37,ML,1,Türkiye,Çankırı,Orta,Güzelyurt,1/9/2025 5:49:55 AM,False,
0.36,648338,Bahşili (Kırıkkale),39.69361,33.33111,7,ML,0.6,Türkiye,Kırıkkale,Bahşili,Sarıkayalar,1/9/2025 4:40:12 PM,False,
0.22,648393,Çerkeş (Çankırı),40.72083,32.85472,9.19,ML,1.7,Türkiye,Çankırı,Çerkeş,Elpirek,1/10/2025 1:44:15 AM,False,
0.35,648430,Çankaya (Ankara),39.80056,32.96111,6.9,ML,1,Türkiye,Ankara,Çankaya,Yakupabdal,1/10/2025 10:34:56 AM,False,
0.34,648481,Gerede (Bolu),40.57611,32.13972,6.98,ML,1.3,Türkiye,Bolu,Gerede,Yeşilvadi,1/10/2025 9:58:03 PM,False,
0.34,648580,Kalecik (Ankara),40.40556,33.40583,6.37,ML,1.4,Türkiye,Ankara,Kalecik,Martköy,1/11/2025 3:03:55 PM,False,
0.23,648695,Kızılırmak (Çankırı),40.32639,33.82278,7.12,ML,1.1,Türkiye,Çankırı,Kızılırmak,Bostanlı,1/12/2025 9:06:48 PM,False,
0.4,648696,Eldivan (Çankırı),40.43528,33.49361,6.23,ML,1.1,Türkiye,Çankırı,Eldivan,Büyükhacıbey,1/12/2025 9:48:45 PM,False,
0.19,648704,Kalecik (Ankara),40.16333,33.46139,12.68,ML,1.1,Türkiye,Ankara,Kalecik,Akkaynak,1/12/2025 11:15:41 PM,False,
0.46,648705,Elmadağ (Ankara),39.85083,33.15861,6.92,ML,1.1,Türkiye,Ankara,Elmadağ,Tatlıca,1/12/2025 11:32:59 PM,False,
0.25,648752,Merkez (Çankırı),40.38556,33.76667,7,ML,0.9,Türkiye,Çankırı,Merkez,Karadayı,1/13/2025 5:16:31 PM,False,
0.32,648779,Çerkeş (Çankırı),40.70278,32.81722,7,ML,1.1,Türkiye,Çankırı,Çerkeş,Bozcaarmut,1/13/2025 10:58:48 PM,False,
0.26,648843,Bahşili (Kırıkkale),39.68111,33.31917,7,ML,0.8,Türkiye,Kırıkkale,Bahşili,Sarıkayalar,1/14/2025 5:15:16 PM,False,
0.18,648898,Kaman (Kırşehir),39.33667,33.61944,7,ML,1,Türkiye,Kırşehir,Kaman,Karkınmeşe,1/15/2025 8:29:11 AM,False,
0.3,648906,Elmadağ (Ankara),40.03028,33.20694,6.94,ML,1.1,Türkiye,Ankara,Elmadağ,Hasanoğlan Havuzbaşı,1/15/2025 10:20:00 AM,False,
0.67,648931,Yenimahalle (Ankara),40.00667,32.75111,7,ML,1.3,Türkiye,Ankara,Yenimahalle,Yuvaköy,1/15/2025 5:12:07 PM,False,
0.41,649007,Yahşihan (Kırıkkale),39.98722,33.55778,0,ML,0.9,Türkiye,Kırıkkale,Yahşihan,Keçili,1/16/2025 12:28:09 PM,False,
0.67,649073,Çubuk (Ankara),40.18944,32.90444,7.01,ML,1.3,Türkiye,Ankara,Çubuk,Gümüşyayla,1/17/2025 10:49:07 AM,False,
0.33,649145,Kulu (Konya),39.205,32.95694,6.56,ML,1.2,Türkiye,Konya,Kulu,Altılar,1/18/2025 6:19:13 AM,False,
0.29,649175,Keskin (Kırıkkale),39.76194,33.6975,7.01,ML,1.2,Türkiye,Kırıkkale,Keskin,Kavlak,1/18/2025 5:55:14 PM,False,
